OP;ODP;PEZZI ;DATA;ORA START;ORA STOP;SECONDI;CICLO;WEEKNUM;;;WEEK;SOMMA;MINUTI ;ORE / SETTIMANA;ORE GIORNO (5 GG LAV.);MEDIA ORE GIORNO 
OP000036;9999001;1;30/06/2023;09:16:13;09:34:12;1079;1079;26;;;;;;;;
OP000036;9999001;1;30/06/2023;10:48:27;11:04:52;985;985;26;;;;;;;;
OP000008;9999001;1;30/06/2023;12:47:07;14:23:26;5779;5779;26;;;;;;;;
OP000035;9999001;1;03/07/2023;08:00:27;08:57:06;3399;3399;27;;;;;;;;
OP000036;9999001;1;03/07/2023;08:00:39;09:09:43;4144;4144;27;;;;;;;;
OP000031;9999001;1;03/07/2023;08:00:32;09:35:17;5685;5685;27;;;;;;;;
OP000031;9999001;1;03/07/2023;10:07:24;10:24:49;1045;1045;27;;;;;;;;
OP000031;9999001;1;03/07/2023;11:54:08;12:02:50;522;522;27;;;;;;;;
OP000031;9999001;1;03/07/2023;16:09:25;16:20:26;661;661;27;;;;;;;;
OP000031;9999001;1;03/07/2023;17:21:51;17:33:35;704;704;27;;;;;;;;
OP000008;9999001;1;04/07/2023;06:52:30;08:43:07;6637;6637;27;;;;;;;;
OP000031;9999001;1;04/07/2023;07:57:33;09:15:17;4664;4664;27;;;;;;;;
OP000036;9999001;1;04/07/2023;10:04:36;10:12:49;493;493;27;;;;;;;;
OP000036;9999001;1;04/07/2023;10:52:42;11:08:10;928;928;27;;;;;;;;
OP000008;9999001;1;04/07/2023;11:53:12;12:06:22;790;790;27;;;;;;;;
OP000008;9999001;1;04/07/2023;12:38:51;12:46:11;440;440;27;;;;;;;;
OP000001;9999001;1;04/07/2023;15:45:22;16:06:38;1276;1276;27;;;;;;;;
OP000001;9999001;1;04/07/2023;16:53:30;17:10:05;995;995;27;;;;;;;;
OP000001;9999001;1;04/07/2023;17:26:05;17:33:46;461;461;27;;;;;;;;
OP000008;9999001;1;05/07/2023;07:02:54;09:04:41;7307;7307;27;;;;;;;;
OP000036;9999001;1;05/07/2023;10:28:49;11:18:58;3009;3009;27;;;;;;;;
OP000036;9999001;1;05/07/2023;11:19:06;11:49:35;1829;1829;27;;;;;;;;
OP000036;9999001;1;05/07/2023;11:49:44;12:03:06;802;802;27;;;;;;;;
OP000008;9999001;1;05/07/2023;12:43:45;13:03:19;1174;1174;27;;;;;;;;
OP000031;9999001;1;05/07/2023;13:30:36;13:41:11;635;635;27;;;;;;;;
OP000031;9999001;1;05/07/2023;14:33:30;14:53:58;1228;1228;27;;;;;;;;
OP000031;9999001;1;05/07/2023;15:56:28;16:25:15;1727;1727;27;;;;;;;;
OP000033;9999001;1;05/07/2023;17:10:09;17:31:08;1259;1259;27;;;;;;;;
OP000008;9999001;1;06/07/2023;06:58:20;08:29:37;5477;5477;27;;;;;;;;
OP000035;9999001;1;06/07/2023;07:58:34;09:14:54;4580;4580;27;;;;;;;;
